Month,Close
1,30511.308811881187
2,30741.181052631582
3,29576.67875
4,30202.629019607844
5,28169.298857142858
6,28603.048679245283
7,28891.269905660378
8,29563.925135135134
9,29322.78323529412
10,29074.761454545453
11,30324.76640776699
12,30422.07609523809
